service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
31305,0,0,0,0,0,1,1,20250405,20260401
31306,0,0,0,0,0,1,1,20250405,20260401
30890,1,1,1,1,1,0,0,20250317,20260401
30891,1,1,1,1,1,0,0,20250317,20260401
31377,0,0,0,0,0,1,1,20250405,20260401
31368,1,1,1,1,1,0,0,20250401,20260401
30713,1,1,1,1,1,0,0,20250317,20260401
30714,0,0,0,0,0,1,1,20250315,20260401
30902,1,1,1,1,1,0,0,20250317,20260401
30901,0,0,0,0,0,1,1,20250315,20260401
30354,1,1,1,1,1,0,0,20241021,20260401
30355,0,0,0,0,0,1,1,20241019,20260401
31361,1,1,1,1,1,0,0,20250321,20260401
29906,0,0,0,0,0,1,1,20241019,20260401
30904,1,1,1,1,1,0,0,20250317,20260401
30903,0,0,0,0,0,1,1,20250315,20260401
30906,1,1,1,1,1,0,0,20250317,20260401
30905,0,0,0,0,0,1,1,20250315,20260401
30907,1,1,1,1,1,0,0,20250317,20260401
30908,0,0,0,0,0,1,1,20250315,20260401
30910,1,1,1,1,1,0,0,20250317,20260401
30909,0,0,0,0,0,1,1,20250315,20260401
31372,0,0,0,0,0,1,1,20250405,20260401
31369,1,1,1,1,1,0,0,20250401,20260401
31224,0,0,0,0,0,1,1,20250405,20260401
30949,1,1,1,1,1,0,0,20250317,20260401
30950,1,1,1,1,1,0,0,20250317,20260401
31393,1,1,1,1,1,0,0,20250401,20260401
30953,0,0,0,0,0,1,1,20250315,20260401
29857,0,0,0,0,0,1,1,20241207,20260401
29856,1,1,1,1,1,0,0,20241202,20260401
30914,1,1,1,1,1,0,0,20250317,20260401
30915,0,0,0,0,0,1,1,20250315,20260401
31364,1,1,1,1,1,0,0,20250321,20260401
31363,1,1,1,1,1,0,0,20250321,20260401
31365,1,1,1,1,1,0,0,20250321,20260401
30920,0,0,0,0,0,1,1,20250315,20260401
31471,1,1,1,1,1,0,0,20250407,20260401
31472,0,0,0,0,0,1,1,20250405,20260401
30932,1,1,1,1,1,0,0,20250317,20260401
30934,0,0,0,0,0,1,1,20250315,20260401
30935,0,0,0,0,0,1,1,20250315,20260401
30975,1,1,1,1,1,0,0,20250317,20260401
30976,0,0,0,0,0,1,1,20250315,20260401
30931,1,1,1,1,1,0,0,20250317,20260401
30933,1,1,1,1,1,0,0,20250317,20260401
30939,1,1,1,1,1,0,0,20250317,20260401
30940,0,0,0,0,0,1,1,20250315,20260401
30941,1,1,1,1,1,0,0,20250317,20260401
30942,0,0,0,0,0,1,1,20250315,20260401
31362,1,1,1,1,1,0,0,20250321,20260401
31119,0,0,0,0,0,1,1,20250405,20260401
31473,1,1,1,1,1,0,0,20250407,20260401
31474,0,0,0,0,0,1,1,20250405,20260401
31394,1,1,1,1,1,0,0,20250401,20260401
31383,1,1,1,1,1,0,0,20250401,20260401
31376,0,0,0,0,0,1,1,20250405,20260401
31309,1,1,1,1,1,0,0,20250401,20260401
29562,0,0,0,0,0,1,1,20240907,20260401
29865,0,0,0,0,0,1,1,20241207,20260401
29866,0,0,0,0,0,1,1,20241207,20260401
29864,0,0,0,0,0,1,1,20241207,20260401
29840,1,1,1,1,1,0,0,20241202,20260401
29841,1,1,1,1,1,0,0,20241202,20260401
31164,1,1,1,1,1,0,0,20250317,20260401
29560,0,0,0,0,0,1,1,20240907,20260401
31475,1,1,1,1,1,0,0,20250407,20260401
31476,0,0,0,0,0,1,1,20250405,20260401
30936,0,0,0,0,0,1,1,20250315,20260401
30937,0,0,0,0,0,1,1,20250315,20260401
30983,1,1,1,1,1,0,0,20250401,20260401
31456,0,0,0,0,0,1,1,20250405,20260401
31454,1,1,1,1,1,0,0,20250402,20260401
31455,1,1,1,1,1,0,0,20250402,20260401
30121,1,1,1,1,1,0,0,20241021,20260401
29836,0,0,0,0,0,1,1,20241019,20260401
30778,1,1,1,1,1,0,0,20250317,20260401
30779,1,1,1,1,1,0,0,20250317,20260401
30966,0,0,0,0,0,1,1,20250315,20260401
30967,0,0,0,0,0,1,1,20250315,20260401
29909,1,1,1,1,1,0,0,20241021,20260401
30853,0,0,0,0,0,1,1,20250405,20260401
30851,1,1,1,1,1,0,0,20250401,20260401
30969,1,1,1,1,1,0,0,20250317,20260401
30970,0,0,0,0,0,1,1,20250315,20260401
31367,0,0,0,0,0,1,1,20250322,20260401
31366,1,1,1,1,1,0,0,20250321,20260401
29827,1,1,1,1,1,0,0,20241021,20260401
30889,1,1,1,1,1,0,0,20250317,20260401
30938,0,0,0,0,0,1,1,20250315,20260401
29825,1,1,1,1,1,0,0,20241021,20260401
30972,1,1,1,1,1,0,0,20250317,20260401
30844,1,1,1,1,1,0,0,20250217,20260401
30843,0,0,0,0,0,1,1,20250215,20260401
30893,1,1,1,1,1,0,0,20250217,20260401
30892,0,0,0,0,0,1,1,20250215,20260401
30834,1,1,1,1,1,0,0,20250217,20260401
30833,0,0,0,0,0,1,1,20250215,20260401
30818,1,1,1,1,1,0,0,20250217,20260401
30817,0,0,0,0,0,1,1,20250215,20260401
30840,1,1,1,1,1,0,0,20250217,20260401
30839,0,0,0,0,0,1,1,20250215,20260401
30842,1,1,1,1,1,0,0,20250217,20260401
30841,0,0,0,0,0,1,1,20250215,20260401
31245,1,1,1,1,1,0,0,20250317,20260401
31395,0,0,0,0,0,1,1,20250405,20260401
31396,1,1,1,1,1,0,0,20250401,20260401
31397,1,1,1,1,1,0,0,20250401,20260401
31248,1,1,1,1,1,0,0,20250317,20260401
31250,0,0,0,0,0,1,1,20250315,20260401
31253,1,1,1,1,1,0,0,20250317,20260401
31254,0,0,0,0,0,1,1,20250315,20260401
31255,1,1,1,1,1,0,0,20250317,20260401
31256,0,0,0,0,0,1,1,20250315,20260401
31257,1,1,1,1,1,0,0,20250317,20260401
31378,1,1,1,1,1,0,0,20250401,20260401
31260,1,1,1,1,1,0,0,20250317,20260401
31380,0,0,0,0,0,1,1,20250405,20260401
31379,1,1,1,1,1,0,0,20250401,20260401
31264,0,0,0,0,0,1,1,20250315,20260401
31484,0,0,0,0,0,1,1,20250405,20260401
31486,1,1,1,1,1,0,0,20250404,20260401
31267,1,1,1,1,1,0,0,20250317,20260401
31268,0,0,0,0,0,1,1,20250315,20260401
31391,0,0,0,0,0,1,1,20250405,20260401
31389,1,1,1,1,1,0,0,20250401,20260401
31392,0,0,0,0,0,1,1,20250405,20260401
31390,1,1,1,1,1,0,0,20250401,20260401
31271,1,1,1,1,1,0,0,20250317,20260401
31272,0,0,0,0,0,1,1,20250315,20260401
31273,1,1,1,1,1,0,0,20250317,20260401
31274,0,0,0,0,0,1,1,20250315,20260401
31485,0,0,0,0,0,1,1,20250405,20260401
31487,1,1,1,1,1,0,0,20250404,20260401
31280,0,0,0,0,0,1,1,20250329,20260401
31278,1,1,1,1,1,0,0,20250324,20260401
31382,0,0,0,0,0,1,1,20250405,20260401
31381,1,1,1,1,1,0,0,20250401,20260401
31284,1,1,1,1,1,0,0,20250317,20260401
31285,0,0,0,0,0,1,1,20250315,20260401
31286,1,1,1,1,1,0,0,20250317,20260401
31287,0,0,0,0,0,1,1,20250315,20260401
31288,1,1,1,1,1,0,0,20250317,20260401
31289,0,0,0,0,0,1,1,20250315,20260401
