service_id,date,exception_type
31305,20260101,1
31305,20250501,1
31305,20250504,1
31305,20250623,1
31305,20250624,1
31305,20251118,1
31305,20251224,1
31305,20251225,1
31305,20251226,1
31305,20251231,1
31306,20260101,1
31306,20250501,1
31306,20250504,1
31306,20250623,1
31306,20250624,1
31306,20251118,1
31306,20251224,1
31306,20251225,1
31306,20251226,1
31306,20251231,1
30890,20260101,2
30890,20250501,2
30890,20250504,2
30890,20250623,2
30890,20250624,2
30890,20251118,2
30890,20251224,2
30890,20251225,2
30890,20251226,2
30890,20251231,2
30891,20260101,2
30891,20250501,2
30891,20250504,2
30891,20250623,2
30891,20250624,2
30891,20251118,2
30891,20251224,2
30891,20251225,2
30891,20251226,2
30891,20251231,2
31377,20260101,1
31377,20250501,1
31377,20250504,1
31377,20250623,1
31377,20250624,1
31377,20251118,1
31377,20251224,1
31377,20251225,1
31377,20251226,1
31377,20251231,1
31368,20260101,2
31368,20250501,2
31368,20250504,2
31368,20250623,2
31368,20250624,2
31368,20251118,2
31368,20251224,2
31368,20251225,2
31368,20251226,2
31368,20251231,2
30713,20260101,2
30713,20250501,2
30713,20250504,2
30713,20250623,2
30713,20250624,2
30713,20251118,2
30713,20251224,2
30713,20251225,2
30713,20251226,2
30713,20251231,2
30714,20260101,1
30714,20250501,1
30714,20250504,1
30714,20250623,1
30714,20250624,1
30714,20251118,1
30714,20251224,1
30714,20251225,1
30714,20251226,1
30714,20251231,1
30902,20260101,2
30902,20250501,2
30902,20250504,2
30902,20250623,2
30902,20250624,2
30902,20251118,2
30902,20251224,2
30902,20251225,2
30902,20251226,2
30902,20251231,2
30901,20260101,1
30901,20250501,1
30901,20250504,1
30901,20250623,1
30901,20250624,1
30901,20251118,1
30901,20251224,1
30901,20251225,1
30901,20251226,1
30901,20251231,1
30354,20260101,2
30354,20250501,2
30354,20250504,2
30354,20250623,2
30354,20250624,2
30354,20251118,2
30354,20251224,2
30354,20251225,2
30354,20251226,2
30354,20251231,2
30355,20260101,1
30355,20250501,1
30355,20250504,1
30355,20250623,1
30355,20250624,1
30355,20251118,1
30355,20251224,1
30355,20251225,1
30355,20251226,1
30355,20251231,1
31361,20260101,2
31361,20250501,2
31361,20250504,2
31361,20250623,2
31361,20250624,2
31361,20251118,2
31361,20251224,2
31361,20251225,2
31361,20251226,2
31361,20251231,2
29906,20260101,1
29906,20250501,1
29906,20250504,1
29906,20250623,1
29906,20250624,1
29906,20251118,1
29906,20251224,1
29906,20251225,1
29906,20251226,1
29906,20251231,1
30904,20260101,2
30904,20250501,2
30904,20250504,2
30904,20250623,2
30904,20250624,2
30904,20251118,2
30904,20251224,2
30904,20251225,2
30904,20251226,2
30904,20251231,2
30903,20260101,1
30903,20250501,1
30903,20250504,1
30903,20250623,1
30903,20250624,1
30903,20251118,1
30903,20251224,1
30903,20251225,1
30903,20251226,1
30903,20251231,1
30906,20260101,2
30906,20250501,2
30906,20250504,2
30906,20250623,2
30906,20250624,2
30906,20251118,2
30906,20251224,2
30906,20251225,2
30906,20251226,2
30906,20251231,2
30905,20260101,1
30905,20250501,1
30905,20250504,1
30905,20250623,1
30905,20250624,1
30905,20251118,1
30905,20251224,1
30905,20251225,1
30905,20251226,1
30905,20251231,1
30907,20260101,2
30907,20250501,2
30907,20250504,2
30907,20250623,2
30907,20250624,2
30907,20251118,2
30907,20251224,2
30907,20251225,2
30907,20251226,2
30907,20251231,2
30908,20260101,1
30908,20250501,1
30908,20250504,1
30908,20250623,1
30908,20250624,1
30908,20251118,1
30908,20251224,1
30908,20251225,1
30908,20251226,1
30908,20251231,1
30910,20260101,2
30910,20250501,2
30910,20250504,2
30910,20250623,2
30910,20250624,2
30910,20251118,2
30910,20251224,2
30910,20251225,2
30910,20251226,2
30910,20251231,2
30909,20260101,1
30909,20250501,1
30909,20250504,1
30909,20250623,1
30909,20250624,1
30909,20251118,1
30909,20251224,1
30909,20251225,1
30909,20251226,1
30909,20251231,1
31372,20260101,1
31372,20250501,1
31372,20250504,1
31372,20250623,1
31372,20250624,1
31372,20251118,1
31372,20251224,1
31372,20251225,1
31372,20251226,1
31372,20251231,1
31369,20260101,2
31369,20250501,2
31369,20250504,2
31369,20250623,2
31369,20250624,2
31369,20251118,2
31369,20251224,2
31369,20251225,2
31369,20251226,2
31369,20251231,2
31224,20260101,1
31224,20250501,1
31224,20250504,1
31224,20250623,1
31224,20250624,1
31224,20251118,1
31224,20251224,1
31224,20251225,1
31224,20251226,1
31224,20251231,1
30949,20260101,2
30949,20250501,2
30949,20250504,2
30949,20250623,2
30949,20250624,2
30949,20251118,2
30949,20251224,2
30949,20251225,2
30949,20251226,2
30949,20251231,2
30950,20260101,2
30950,20250501,2
30950,20250504,2
30950,20250623,2
30950,20250624,2
30950,20251118,2
30950,20251224,2
30950,20251225,2
30950,20251226,2
30950,20251231,2
31393,20260101,2
31393,20250501,2
31393,20250504,2
31393,20250623,2
31393,20250624,2
31393,20251118,2
31393,20251224,2
31393,20251225,2
31393,20251226,2
31393,20251231,2
30953,20260101,1
30953,20250501,1
30953,20250504,1
30953,20250623,1
30953,20250624,1
30953,20251118,1
30953,20251224,1
30953,20251225,1
30953,20251226,1
30953,20251231,1
29857,20260101,1
29857,20250501,1
29857,20250504,1
29857,20250623,1
29857,20250624,1
29857,20251118,1
29857,20251224,1
29857,20251225,1
29857,20251226,1
29857,20251231,1
29856,20260101,2
29856,20250501,2
29856,20250504,2
29856,20250623,2
29856,20250624,2
29856,20251118,2
29856,20251224,2
29856,20251225,2
29856,20251226,2
29856,20251231,2
30914,20260101,2
30914,20250501,2
30914,20250504,2
30914,20250623,2
30914,20250624,2
30914,20251118,2
30914,20251224,2
30914,20251225,2
30914,20251226,2
30914,20251231,2
30915,20260101,1
30915,20250501,1
30915,20250504,1
30915,20250623,1
30915,20250624,1
30915,20251118,1
30915,20251224,1
30915,20251225,1
30915,20251226,1
30915,20251231,1
31364,20260101,2
31364,20250501,2
31364,20250504,2
31364,20250623,2
31364,20250624,2
31364,20251118,2
31364,20251224,2
31364,20251225,2
31364,20251226,2
31364,20251231,2
31363,20260101,2
31363,20250501,2
31363,20250504,2
31363,20250623,2
31363,20250624,2
31363,20251118,2
31363,20251224,2
31363,20251225,2
31363,20251226,2
31363,20251231,2
31365,20260101,2
31365,20250501,2
31365,20250504,2
31365,20250623,2
31365,20250624,2
31365,20251118,2
31365,20251224,2
31365,20251225,2
31365,20251226,2
31365,20251231,2
30920,20260101,1
30920,20250501,1
30920,20250504,1
30920,20250623,1
30920,20250624,1
30920,20251118,1
30920,20251224,1
30920,20251225,1
30920,20251226,1
30920,20251231,1
31471,20260101,2
31471,20250501,2
31471,20250504,2
31471,20250623,2
31471,20250624,2
31471,20251118,2
31471,20251224,2
31471,20251225,2
31471,20251226,2
31471,20251231,2
31472,20260101,1
31472,20250501,1
31472,20250504,1
31472,20250623,1
31472,20250624,1
31472,20251118,1
31472,20251224,1
31472,20251225,1
31472,20251226,1
31472,20251231,1
30932,20260101,2
30932,20250501,2
30932,20250504,2
30932,20250623,2
30932,20250624,2
30932,20251118,2
30932,20251224,2
30932,20251225,2
30932,20251226,2
30932,20251231,2
30934,20260101,1
30934,20250501,1
30934,20250504,1
30934,20250623,1
30934,20250624,1
30934,20251118,1
30934,20251224,1
30934,20251225,1
30934,20251226,1
30934,20251231,1
30935,20260101,1
30935,20250501,1
30935,20250504,1
30935,20250623,1
30935,20250624,1
30935,20251118,1
30935,20251224,1
30935,20251225,1
30935,20251226,1
30935,20251231,1
30975,20260101,2
30975,20250501,2
30975,20250504,2
30975,20250623,2
30975,20250624,2
30975,20251118,2
30975,20251224,2
30975,20251225,2
30975,20251226,2
30975,20251231,2
30976,20260101,1
30976,20250501,1
30976,20250504,1
30976,20250623,1
30976,20250624,1
30976,20251118,1
30976,20251224,1
30976,20251225,1
30976,20251226,1
30976,20251231,1
30931,20260101,2
30931,20250501,2
30931,20250504,2
30931,20250623,2
30931,20250624,2
30931,20251118,2
30931,20251224,2
30931,20251225,2
30931,20251226,2
30931,20251231,2
30933,20260101,2
30933,20250501,2
30933,20250504,2
30933,20250623,2
30933,20250624,2
30933,20251118,2
30933,20251224,2
30933,20251225,2
30933,20251226,2
30933,20251231,2
30939,20260101,2
30939,20250501,2
30939,20250504,2
30939,20250623,2
30939,20250624,2
30939,20251118,2
30939,20251224,2
30939,20251225,2
30939,20251226,2
30939,20251231,2
30940,20260101,1
30940,20250501,1
30940,20250504,1
30940,20250623,1
30940,20250624,1
30940,20251118,1
30940,20251224,1
30940,20251225,1
30940,20251226,1
30940,20251231,1
30941,20260101,2
30941,20250501,2
30941,20250504,2
30941,20250623,2
30941,20250624,2
30941,20251118,2
30941,20251224,2
30941,20251225,2
30941,20251226,2
30941,20251231,2
30942,20260101,1
30942,20250501,1
30942,20250504,1
30942,20250623,1
30942,20250624,1
30942,20251118,1
30942,20251224,1
30942,20251225,1
30942,20251226,1
30942,20251231,1
31362,20260101,2
31362,20250501,2
31362,20250504,2
31362,20250623,2
31362,20250624,2
31362,20251118,2
31362,20251224,2
31362,20251225,2
31362,20251226,2
31362,20251231,2
31119,20260101,1
31119,20250501,1
31119,20250504,1
31119,20250623,1
31119,20250624,1
31119,20251118,1
31119,20251224,1
31119,20251225,1
31119,20251226,1
31119,20251231,1
31473,20260101,2
31473,20250501,2
31473,20250504,2
31473,20250623,2
31473,20250624,2
31473,20251118,2
31473,20251224,2
31473,20251225,2
31473,20251226,2
31473,20251231,2
31474,20260101,1
31474,20250501,1
31474,20250504,1
31474,20250623,1
31474,20250624,1
31474,20251118,1
31474,20251224,1
31474,20251225,1
31474,20251226,1
31474,20251231,1
31394,20260101,2
